[Tue Mar 31 21:21:56.120013 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170
[Tue Mar 31 21:25:53.686713 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.686781 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.686838 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.690279 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.690338 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.690351 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.742843 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.743065 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.743098 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.743151 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.747320 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.747423 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.747452 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.388790 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.388996 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.389020 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.389069 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.391770 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.391843 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.391862 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.443841 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.444031 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.444056 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.444098 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.446981 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.447115 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:55.447136 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.377686 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.377935 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.377966 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.378019 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.381129 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.381216 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.381241 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.440715 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.440942 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.440975 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.441030 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.445013 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.445322 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:56.445372 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.027065 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.027198 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.027213 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.027238 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.028729 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.028770 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.028782 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.081929 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.082040 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.082055 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.082082 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Notice:  Use of undefined constant BaseMtc_member - assumed 'BaseMtc_member' in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicData.class.php on line 547, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.084019 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.084061 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:57.084072 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.213469 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.214205 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.214244 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.214706 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  file_get_contents(/var/www/marchtennisclub.com/public_html/to_be/json-api/lib/res/en_strings.json): failed to open stream: No such file or directory in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicUtils.class.php on line 18, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.215180 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.215283 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:14.215314 2015] [:error] [pid 3501] [client 99.254.9.30:50873] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995007 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995200 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995225 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995327 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  file_get_contents(/var/www/marchtennisclub.com/public_html/to_be/json-api/lib/res/en_strings.json): failed to open stream: No such file or directory in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicUtils.class.php on line 18, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995403 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995453 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:20.995507 2015] [:error] [pid 3286] [client 99.254.9.30:50882] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834061 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834210 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834228 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834286 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  file_get_contents(/var/www/marchtennisclub.com/public_html/to_be/json-api/lib/res/en_strings.json): failed to open stream: No such file or directory in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicUtils.class.php on line 18, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834338 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834370 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:04:35.834380 2015] [:error] [pid 3209] [client 99.254.9.30:50894] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:05:27.813521 2015] [:error] [pid 3277] [client 99.254.9.30:50907] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:05:27.813894 2015] [:error] [pid 3277] [client 99.254.9.30:50907] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:05:27.813946 2015] [:error] [pid 3277] [client 99.254.9.30:50907] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:05:27.814141 2015] [:error] [pid 3277] [client 99.254.9.30:50907] PHP Warning:  file_get_contents(/var/www/marchtennisclub.com/public_html/to_be/json-api/lib/res/en_strings.json): failed to open stream: No such file or directory in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicUtils.class.php on line 18, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:05:27.814327 2015] [:error] [pid 3277] [client 99.254.9.30:50907] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Wed Apr 01 07:05:27.814463 2015] [:error] [pid 3277] [client 99.254.9.30:50907] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
